@T,climate ,,,,,
name,wind ,,,,,
desc,wind speed ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,21.11.2001 ,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy ,,,,,
,,,,,,
tres,d ,,,,,
unit,m/s ,,,,,
,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4]
name,-,EnergyTower1,EnergyTower2,METOS,Vaisala,COAGMETAult
ID,-,1,2,3,4,5
elevation,-,1584.435,1584.867,1571,1571,1497
,03.09.2002,-9999,-9999,2.310489398,-9999,2.316010185
,04.09.2002,-9999,-9999,2.263304861,-9999,2.18061956
,05.09.2002,-9999,-9999,2.342311528,-9999,1.99809294
,06.09.2002,-9999,-9999,3.024841343,-9999,2.822471412
,07.09.2002,-9999,-9999,2.932666898,-9999,3.349993403
,08.09.2002,-9999,-9999,2.733504259,-9999,3.13537419
,09.09.2002,-9999,-9999,3.074769167,-9999,4.431112616
,10.09.2002,-9999,-9999,3.055566157,-9999,3.053136921
,11.09.2002,-9999,-9999,2.268791435,-9999,2.834506134
,12.09.2002,-9999,-9999,2.414185648,-9999,2.936801273
,13.09.2002,-9999,-9999,2.06249625,-9999,1.888777546
,14.09.2002,-9999,-9999,2.794405231,-9999,3.320909491
,15.09.2002,-9999,-9999,2.239712593,-9999,1.826698438
,16.09.2002,-9999,-9999,2.359319907,-9999,2.408276389
,17.09.2002,-9999,-9999,2.870668611,-9999,2.55971331
,18.09.2002,-9999,-9999,5.254036389,-9999,5.483147917
,19.09.2002,-9999,-9999,3.351841157,-9999,3.307871875
,20.09.2002,-9999,-9999,2.799891806,-9999,2.533638079
,21.09.2002,-9999,-9999,3.062698704,-9999,3.327929745
,22.09.2002,-9999,-9999,2.319267917,-9999,2.208700579
,23.09.2002,-9999,-9999,3.124148333,-9999,3.324921065
,24.09.2002,-9999,-9999,2.217217639,-9999,2.153541435
,25.09.2002,-9999,-9999,4.492499907,-9999,4.386985301
,26.09.2002,-9999,-9999,2.140405602,-9999,2.224746875
,27.09.2002,-9999,-9999,2.650108333,-9999,2.427331366
,28.09.2002,-9999,-9999,2.666568056,-9999,2.533638079
,29.09.2002,-9999,-9999,2.711009306,-9999,2.604843519
,30.09.2002,-9999,-9999,2.683027778,-9999,2.626907176
,01.10.2002,-9999,-9999,5.110836806,-9999,5.434006134
,02.10.2002,-9999,-9999,2.627064722,-9999,3.771208681
,03.10.2002,-9999,-9999,3.732609398,-9999,4.307756713
,04.10.2002,-9999,-9999,3.119759074,-9999,2.684072106
,05.10.2002,-9999,-9999,3.005089676,-9999,3.015026968
,06.10.2002,-9999,-9999,2.596888565,-9999,2.937804167
,07.10.2002,-9999,-9999,2.13875963,-9999,1.918864352
,08.10.2002,-9999,-9999,4.214330602,-9999,4.298730671
,09.10.2002,-9999,-9999,1.989524815,-9999,1.982046644
,10.10.2002,-9999,-9999,2.404858472,-9999,2.1435125
,11.10.2002,-9999,-9999,4.777801759,-9999,4.098151968
,12.10.2002,-9999,-9999,3.121405046,-9999,3.181507292
,13.10.2002,-9999,-9999,2.103096898,-9999,2.003107407
,14.10.2002,-9999,-9999,3.520278981,-9999,4.096146181
,15.10.2002,-9999,-9999,2.127237824,-9999,2.470455787
,16.10.2002,-9999,-9999,3.826429815,-9999,4.21849919
,17.10.2002,-9999,-9999,2.156865324,-9999,2.424322685
,18.10.2002,-9999,-9999,3.001249074,-9999,2.985943056
,19.10.2002,-9999,-9999,2.050974444,-9999,2.053252083
,20.10.2002,-9999,-9999,2.700584815,-9999,2.372172222
,21.10.2002,-9999,-9999,2.47508662,-9999,2.748257292
,22.10.2002,-9999,-9999,4.245604074,-9999,4.753041435
,23.10.2002,-9999,-9999,2.224898843,-9999,3.410167014
,24.10.2002,-9999,-9999,1.9588,-9999,2.053252083
,25.10.2002,-9999,-9999,2.119007963,-9999,2.378189583
,26.10.2002,-9999,-9999,2.32694912,-9999,2.964882292
,27.10.2002,-9999,-9999,2.393336667,-9999,2.996974884
,28.10.2002,-9999,-9999,2.967232315,-9999,2.987948843
,29.10.2002,-9999,-9999,4.952274815,-9999,5.716822106
,30.10.2002,-9999,-9999,2.019152315,-9999,3.303860301
,31.10.2002,-9999,-9999,2.054266389,-9999,3.050128241
,01.11.2002,-9999,-9999,1.9588,-9999,2.050243403
,02.11.2002,-9999,-9999,1.974711065,-9999,2.28893206
,03.11.2002,-9999,-9999,2.091026435,-9999,2.666020023
,04.11.2002,-9999,-9999,2.125591852,-9999,2.497533912
,05.11.2002,-9999,-9999,2.381814861,-9999,2.996974884
,06.11.2002,-9999,-9999,2.026284861,-9999,2.054254977
,07.11.2002,-9999,-9999,2.014763056,-9999,1.987061111
,08.11.2002,-9999,-9999,2.546412083,-9999,2.430340046
,09.11.2002,-9999,-9999,5.265009537,-9999,4.776107986
,10.11.2002,-9999,-9999,4.372343935,-9999,4.20145
,11.11.2002,-9999,-9999,2.887676991,-9999,3.383088889
,12.11.2002,-9999,-9999,2.060850278,-9999,1.970011921
,13.11.2002,-9999,-9999,2.571650324,-9999,2.792384606
,14.11.2002,-9999,-9999,2.71210662,-9999,3.498421644
,15.11.2002,-9999,-9999,3.268445231,-9999,3.987833681
,16.11.2002,-9999,-9999,2.064142222,-9999,1.989066898
,17.11.2002,-9999,-9999,2.768069676,-9999,3.58567338
,18.11.2002,-9999,-9999,3.013319537,-9999,3.447274074
,19.11.2002,-9999,-9999,3.246498935,-9999,3.932674537
,20.11.2002,-9999,-9999,2.649559676,-9999,3.24669537
,21.11.2002,-9999,-9999,3.123051019,-9999,2.953850463
,22.11.2002,-9999,-9999,3.403963611,-9999,3.128353935
,23.11.2002,-9999,-9999,4.382219769,-9999,4.667795486
,24.11.2002,-9999,-9999,2.807024352,-9999,3.618768866
,25.11.2002,-9999,-9999,2.794405231,-9999,3.619771759
,26.11.2002,-9999,-9999,2.111875417,-9999,2.429337153
,27.11.2002,-9999,-9999,2.807573009,-9999,3.201565162
,28.11.2002,-9999,-9999,1.976905694,-9999,2.075315741
,29.11.2002,-9999,-9999,3.025938657,-9999,3.848431481
,30.11.2002,-9999,-9999,2.481670509,-9999,2.320021759
,01.12.2002,-9999,-9999,2.039452639,-9999,1.994081366
,02.12.2002,-9999,-9999,2.34176287,-9999,2.575759606
,03.12.2002,-9999,-9999,3.191084537,-9999,3.944709259
,04.12.2002,-9999,-9999,1.977454352,-9999,2.620889815
,05.12.2002,-9999,-9999,2.166741157,-9999,2.583782755
,06.12.2002,-9999,-9999,2.167838472,-9999,2.141506713
,07.12.2002,-9999,-9999,2.044939213,-9999,2.452403704
,08.12.2002,-9999,-9999,2.084442546,-9999,3.051131134
,09.12.2002,-9999,-9999,2.028479491,-9999,2.151535648
,10.12.2002,-9999,-9999,2.120653935,-9999,2.280908912
,11.12.2002,-9999,-9999,-9999,-9999,2.970524259
,12.12.2002,-9999,-9999,-9999,-9999,2.6994875
,13.12.2002,-9999,-9999,-9999,-9999,1.973065093
,14.12.2002,-9999,-9999,-9999,-9999,1.982392269
,15.12.2002,-9999,-9999,-9999,-9999,3.485164907
,16.12.2002,-9999,-9999,-9999,-9999,2.751061296
,17.12.2002,-9999,-9999,-9999,-9999,2.620480833
,18.12.2002,-9999,-9999,-9999,-9999,3.648664815
,19.12.2002,-9999,-9999,-9999,-9999,5.369803102
,20.12.2002,-9999,-9999,-9999,-9999,2.305551481
,21.12.2002,-9999,-9999,-9999,-9999,2.937056157
,22.12.2002,-9999,-9999,-9999,-9999,2.168935787
,23.12.2002,-9999,-9999,-9999,-9999,2.691257639
,24.12.2002,-9999,-9999,-9999,-9999,2.044939213
,25.12.2002,-9999,-9999,-9999,-9999,1.985135556
,26.12.2002,-9999,-9999,-9999,-9999,2.218863611
,27.12.2002,-9999,-9999,-9999,-9999,2.311038056
,28.12.2002,-9999,-9999,-9999,-9999,2.162900556
,29.12.2002,-9999,-9999,-9999,-9999,4.6549025
