@T,A4,,,,
descr,observed soil water content at probe A4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1571,,,
x,,513622,,,
y,,4495211,,,
,19.09.2003,0.315263403,-9999,0.206400278,0.148254523
,20.09.2003,0.315564113,0.226143213,0.205449478,0.148068449
,21.09.2003,0.31602475,0.225661437,0.204783125,0.147813129
,22.09.2003,0.316078429,0.225610431,0.204321239,0.14764222
,23.09.2003,0.316082253,0.225285411,0.203999152,0.14754568
,24.09.2003,0.317002981,0.225489277,0.203816477,0.147543206
,25.09.2003,0.316168403,0.225444723,0.203773004,0.147610041
,26.09.2003,0.317046214,0.225374574,0.20368318,0.147716512
,27.09.2003,0.316642998,0.225524355,0.203703463,0.147880024
,28.09.2003,0.315582005,0.225237668,0.203622349,0.148065964
,29.09.2003,0.313971,0.22457276,0.203373287,0.148257006
,30.09.2003,0.312254099,0.223617118,0.203028985,0.148363746
,01.10.2003,0.309451908,0.222092141,0.202465565,0.148319059
,02.10.2003,0.309838526,0.221029013,0.201669639,0.148187522
,03.10.2003,0.311080933,0.220767681,0.201119878,0.147986608
,04.10.2003,0.310806735,0.220931388,0.200901376,0.147887455
,05.10.2003,0.310753395,0.220657586,0.200737613,0.147884977
,06.10.2003,0.311523003,0.220720485,0.20057392,0.14792711
,07.10.2003,0.3117619,0.220988035,0.200579661,0.14802132
,08.10.2003,0.312822115,0.221236859,0.200634216,0.148175114
,09.10.2003,0.313054889,0.221690843,0.200806561,0.148408458
,10.10.2003,0.313272948,0.221978012,0.201013483,0.148701695
,11.10.2003,0.312361451,0.22210119,0.201211897,0.149050043
,12.10.2003,0.309388165,0.221221391,0.201211897,0.149378925
,13.10.2003,0.308833573,0.220368333,0.200878403,0.149608394
,14.10.2003,0.305859453,0.219304535,0.2004907,0.149718218
,15.10.2003,0.303810656,0.21781872,0.199831214,0.14969076
,16.10.2003,0.302862854,0.216584497,0.199032913,0.14952357
,17.10.2003,0.302239833,0.215630599,0.198302073,0.149299153
,18.10.2003,0.304039348,0.215490868,0.197717961,0.149079913
,19.10.2003,0.304833955,0.21602476,0.197575633,0.148955425
,20.10.2003,0.305488893,0.216509673,0.197655325,0.149002721
,21.10.2003,0.305098064,0.21703571,0.197888796,0.149189511
,22.10.2003,0.304344943,0.21721642,0.198093918,0.149451235
,23.10.2003,0.30344922,0.217419042,0.1982621,0.149745696
,24.10.2003,0.30245655,0.217565635,0.198416103,0.150070493
,25.10.2003,0.298507978,0.216964338,0.198510247,-9999
,26.10.2003,0.293763542,0.214961583,0.198131015,0.150626105
,27.10.2003,0.292844038,0.2131938,0.197294155,0.150581013
,28.10.2003,0.293170476,0.212568533,0.19654442,0.150360662
,29.10.2003,0.291577899,0.212125828,0.196048369,0.150170504
,30.10.2003,0.290248198,0.211953819,0.195708653,0.150075474
,31.10.2003,0.284872519,0.209960883,0.195228115,0.149972997
,01.11.2003,0.28228503,0.207216672,0.19401287,0.149660836
,02.11.2003,0.281109789,0.205228226,0.192572104,0.149099892
,03.11.2003,0.280111281,0.203629,0.191288387,0.148420955
,04.11.2003,0.279305478,0.202261235,0.190107113,0.147726498
,05.11.2003,0.277848284,0.201268115,0.18906875,0.147058679
,06.11.2003,0.276487391,0.199844678,0.188105672,0.146412371
,07.11.2003,0.276095835,0.198920587,0.187148215,0.145765306
,08.11.2003,0.27545286,0.198297163,0.186388733,0.1451567
,09.11.2003,0.275148044,0.19780161,0.185779201,0.144654756
,10.11.2003,0.274820426,0.197442203,0.185277639,0.144205114
,11.11.2003,0.274367364,0.197300906,0.184957375,0.143863559
,12.11.2003,0.273914328,0.197153785,0.184768685,0.143600401
,13.11.2003,0.271907872,0.196630724,0.184539114,0.14340809
,14.11.2003,0.271122616,0.195944115,0.184118688,0.14321107
,15.11.2003,0.270125891,0.195434548,0.183671583,0.142994783
,16.11.2003,0.268693778,0.19482942,0.18329857,0.142771402
,17.11.2003,0.267597725,0.194032972,0.182830933,0.142545821
,18.11.2003,0.26667375,0.19331114,0.182320579,0.14227442
,19.11.2003,0.267067418,0.192947868,0.181876064,0.141993654
,20.11.2003,0.26709675,0.193130874,0.181694637,0.141783288
,21.11.2003,0.266313298,0.193090205,0.181705463,0.141669718
,22.11.2003,0.264155758,0.192382215,0.181559336,0.141623825
,23.11.2003,0.25995611,0.190743273,0.181016083,0.141491033
,24.11.2003,0.255918613,0.188249769,0.179913611,0.141138905
,25.11.2003,0.255479966,0.186419965,0.178675598,0.14052271
,26.11.2003,0.254474165,0.185527916,0.177632185,0.139831379
,27.11.2003,0.253816786,0.184570437,0.176741542,0.139168351
,28.11.2003,0.252424603,0.183661184,0.175919937,0.138552485
,29.11.2003,0.252664901,0.182762803,0.17510062,0.13794778
,30.11.2003,0.256527133,0.183249714,0.174560888,0.137406285
,01.12.2003,0.257955097,0.184171876,0.174542383,0.137060183
,02.12.2003,0.257232712,0.184477031,0.174669266,0.136918105
,03.12.2003,0.257041832,0.184457241,0.17472743,0.13689917
,04.12.2003,0.25578144,0.184140814,0.174693058,0.136894437
,05.12.2003,0.253518144,0.183289218,0.174473693,0.13686604
,06.12.2003,0.252304976,0.182055214,0.173972159,0.136712273
,07.12.2003,0.254373339,0.181693384,0.173402952,0.136447559
,08.12.2003,0.255799982,0.18222903,0.173189763,0.136211446
,09.12.2003,0.25545451,0.18228515,0.173210806,0.136098203
,10.12.2003,0.254435873,0.181959721,0.173126648,0.136053392
,11.12.2003,0.252713916,0.181175615,0.17286641,0.135987373
,12.12.2003,0.251171079,0.180142477,0.172359751,0.135838913
,13.12.2003,0.250046508,0.179062813,0.171696908,0.13557521
,14.12.2003,0.249689973,0.178205669,0.170999019,0.135224861
,15.12.2003,0.250343652,0.177865142,0.170383528,0.134863312
,16.12.2003,0.249562047,0.177530636,0.169941005,0.134523416
,17.12.2003,0.248850188,0.176857107,0.16948878,0.134230817
