@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,27.02.2003,0.112929958,0.201574608,0.148401863,0.179468958
,28.02.2003,0.113453548,0.201529322,0.148036789,0.179281509
,01.03.2003,0.113577607,0.201651016,0.147872459,0.179063386
,02.03.2003,0.11357198,0.201619884,0.147762224,0.178863359
,03.03.2003,0.114416818,0.201818094,0.147688006,0.178709588
,04.03.2003,0.115450485,0.202796693,0.147795973,0.178520056
,05.03.2003,0.114486334,0.202941463,0.148034524,0.178438124
,06.03.2003,0.114633937,0.202586433,0.148045784,0.178394612
,07.03.2003,0.116242885,0.203265641,0.148070556,0.178322953
,08.03.2003,0.118276684,0.204885194,0.148442465,0.178287139
,09.03.2003,0.119549609,0.206828035,0.149104225,0.178282017
,10.03.2003,0.120181239,-9999,0.149851558,0.178371579
,11.03.2003,0.122051196,0.209632658,0.150542008,0.178545659
,12.03.2003,0.124009822,0.211756825,0.151428356,0.178763406
,13.03.2003,0.125697193,0.214057756,0.152475846,0.179017223
,14.03.2003,0.127337475,0.216211277,0.153626579,0.179355974
,15.03.2003,0.129734304,0.218577006,0.15481487,0.179764524
,16.03.2003,0.130674267,0.221133587,0.156185245,0.18020969
,17.03.2003,0.130833245,0.222535689,0.157396803,0.180763812
,18.03.2003,0.127832128,0.222415817,0.158273902,0.181339629
,19.03.2003,0.124279055,0.219600555,0.158353569,0.181895803
,20.03.2003,0.123374276,0.21691729,0.157660725,0.182359631
,21.03.2003,0.125272468,0.216447039,0.15703018,0.18266318
,22.03.2003,0.126824237,0.21772201,0.157025524,0.182824153
,23.03.2003,0.127555291,0.21872775,0.157394291,0.182933253
,24.03.2003,0.128862665,0.220246481,0.157838439,0.183099579
,25.03.2003,0.12677216,0.220016752,0.158376984,0.183271204
,26.03.2003,0.127554848,0.219584396,0.158395728,0.183515786
,27.03.2003,0.127874266,0.2203387,0.158548172,0.183724091
,28.03.2003,0.125064236,0.219195064,0.158688941,0.183888238
,29.03.2003,0.123686618,0.217289896,0.15823641,0.184068111
,30.03.2003,0.123070246,0.215536055,0.157567221,0.184172435
,31.03.2003,0.125135659,0.215444555,0.157004528,0.184195912
,01.04.2003,0.128216826,0.217396704,0.157088529,0.184133308
,02.04.2003,0.130451652,0.219975375,0.157761313,0.18409679
,03.04.2003,0.131708485,0.222328827,0.158768916,0.184175044
,04.04.2003,0.131269696,0.223485357,0.15970482,0.184323781
,05.04.2003,0.130096615,0.223440298,0.160277831,0.184592718
,06.04.2003,0.128504845,0.222499695,0.16042422,0.184893263
,07.04.2003,0.126019891,0.220333456,0.160126807,0.185180992
,08.04.2003,0.125949186,0.218419078,0.159422259,0.185359003
,09.04.2003,0.128248581,0.218588165,0.158909637,0.185411374
,10.04.2003,0.131501482,0.220563222,0.159031841,0.185398278
,11.04.2003,0.13433218,0.223498139,0.159829784,0.185385185
,12.04.2003,0.136780861,0.22632264,0.160937548,0.185487335
,13.04.2003,0.138698491,0.228929971,0.162194808,0.185686511
