@T,E1,,,,,
descr,observed soil water content at probe E1 depths 30cm 60cm 90cm 120cm 150cm,,,,,
unit,dimensionless,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,14.12.2002,,,,,
date_end,31.01.2020,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3],swc[4]
name,,Drake,,,,
ID,,1,,,,
elevation,,1575,,,,
x,,512754,,,,
y,,4495389,,,,
,08.11.2003,0.337395833,0.294895833,0.241754167,0.206979167,0.33655
,09.11.2003,0.337975,0.294570833,0.240966667,0.206133333,0.335775
,10.11.2003,0.338604167,0.294458333,0.240425,0.205420833,0.335058333
,11.11.2003,0.339258333,0.294641667,0.240058333,0.204858333,0.334383333
,12.11.2003,0.339675,0.2947875,0.239883333,0.204383333,0.333829167
,13.11.2003,0.337354167,0.2942375,0.239708333,0.204033333,0.3332875
,14.11.2003,0.337141667,0.293425,0.239204167,0.203675,0.332825
,15.11.2003,0.33655,0.292833333,0.2387625,0.203283333,0.332416667
,16.11.2003,0.335166667,0.292120833,0.2383,0.2028875,0.3319875
,17.11.2003,0.333991667,0.291066667,0.237725,0.2024875,0.331558333
,18.11.2003,0.333308333,0.2901125,0.237070833,0.202016667,0.3311375
,19.11.2003,0.3350625,0.289833333,0.236479167,0.201516667,0.330683333
,20.11.2003,0.336620833,0.290570833,0.236225,0.2011125,0.3302125
,21.11.2003,0.335975,0.290958333,0.236325,0.2008625,0.3297875
,22.11.2003,0.332058333,0.290025,0.236233333,0.200708333,0.32945
,23.11.2003,0.323708333,0.287020833,0.235470833,0.200466667,0.329208333
,24.11.2003,0.318066667,0.282620833,0.233741667,0.199883333,0.32885
,25.11.2003,0.31775,0.279470833,0.231608333,0.1988875,0.328333333
,26.11.2003,0.3172375,0.278254167,0.2299625,0.197754167,0.3276375
,27.11.2003,0.316508333,0.277079167,0.228720833,0.196725,0.326854167
,28.11.2003,0.314925,0.276033333,0.2276625,0.195833333,0.326083333
,29.11.2003,0.315529167,0.274908333,0.226666667,0.195,0.325370833
,30.11.2003,0.3212375,0.275983333,0.226025,0.194233333,0.324633333
,01.12.2003,0.323575,0.277958333,0.226291667,0.193758333,0.3239375
